Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.29,-.18,-.11,-.19,-.11,-.23,-.20,-.09,-.15,-.23,-.19,-.22,-.18,***,***,-.14,-.17,-.19
1881,-.15,-.17,.04,.04,.02,-.20,-.06,-.02,-.13,-.21,-.21,-.11,-.10,-.11,-.18,.03,-.09,-.19
1882,.14,.15,.04,-.19,-.16,-.26,-.21,-.05,-.10,-.25,-.16,-.24,-.11,-.10,.06,-.10,-.17,-.17
1883,-.31,-.39,-.13,-.17,-.20,-.12,-.08,-.15,-.20,-.14,-.22,-.16,-.19,-.20,-.32,-.16,-.12,-.19
1884,-.15,-.08,-.37,-.42,-.36,-.40,-.34,-.26,-.27,-.24,-.29,-.28,-.29,-.28,-.13,-.38,-.34,-.27
1885,-.59,-.30,-.25,-.42,-.42,-.44,-.35,-.31,-.23,-.19,-.19,-.05,-.31,-.33,-.39,-.36,-.37,-.21
1886,-.42,-.45,-.38,-.28,-.26,-.39,-.22,-.33,-.25,-.28,-.31,-.26,-.32,-.30,-.31,-.31,-.31,-.28
1887,-.72,-.52,-.33,-.38,-.32,-.23,-.23,-.31,-.22,-.32,-.23,-.33,-.34,-.34,-.50,-.34,-.26,-.26
1888,-.37,-.35,-.41,-.22,-.21,-.18,-.09,-.15,-.09,.02,.01,-.06,-.17,-.20,-.35,-.28,-.14,-.02
1889,-.11,.19,.08,.08,-.02,-.13,-.09,-.19,-.21,-.22,-.33,-.29,-.10,-.08,.01,.05,-.14,-.25
1890,-.44,-.45,-.39,-.36,-.45,-.26,-.26,-.37,-.39,-.24,-.47,-.31,-.37,-.36,-.39,-.40,-.30,-.37
1891,-.41,-.47,-.19,-.28,-.18,-.20,-.20,-.16,-.13,-.21,-.34,-.04,-.23,-.26,-.40,-.22,-.19,-.23
1892,-.28,-.11,-.35,-.34,-.24,-.22,-.32,-.24,-.12,-.12,-.41,-.39,-.26,-.23,-.15,-.31,-.26,-.22
