Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1893,-.79,-.54,-.23,-.29,-.35,-.27,-.15,-.26,-.20,-.16,-.16,-.34,-.31,-.32,-.57,-.29,-.23,-.17
1894,-.53,-.33,-.25,-.47,-.35,-.44,-.26,-.22,-.24,-.20,-.25,-.19,-.31,-.32,-.40,-.36,-.30,-.23
1895,-.44,-.41,-.28,-.24,-.26,-.23,-.17,-.15,-.08,-.08,-.14,-.15,-.22,-.22,-.35,-.26,-.18,-.10
1896,-.25,-.14,-.25,-.30,-.18,-.14,-.03,-.03,-.03,.12,-.07,-.03,-.11,-.12,-.18,-.24,-.07,.01
1897,-.14,-.14,-.13,-.02,-.05,-.16,-.07,-.10,-.07,-.12,-.19,-.19,-.12,-.10,-.10,-.07,-.11,-.13
1898,-.03,-.29,-.51,-.33,-.32,-.20,-.24,-.25,-.21,-.33,-.38,-.25,-.28,-.27,-.17,-.38,-.23,-.30
1899,-.19,-.40,-.34,-.20,-.23,-.33,-.17,-.06,-.02,-.05,.12,-.28,-.18,-.18,-.28,-.26,-.19,.02
1900,-.37,-.02,.02,-.12,-.10,-.12,-.12,-.10,-.04,.09,-.09,-.07,-.09,-.11,-.22,-.07,-.11,-.01
1901,-.23,-.03,.08,-.03,-.16,-.12,-.15,-.20,-.22,-.31,-.17,-.28,-.15,-.13,-.11,-.04,-.16,-.23
1902,-.20,-.04,-.29,-.31,-.36,-.35,-.29,-.33,-.29,-.31,-.39,-.46,-.30,-.29,-.17,-.32,-.32,-.33
1903,-.26,-.05,-.23,-.43,-.45,-.46,-.38,-.48,-.48,-.48,-.45,-.53,-.39,-.38,-.25,-.37,-.44,-.47
1904,-.68,-.59,-.51,-.54,-.55,-.51,-.53,-.50,-.52,-.40,-.21,-.35,-.49,-.51,-.60,-.53,-.51,-.38
1905,-.40,-.59,-.22,-.36,-.33,-.30,-.29,-.22,-.18,-.25,-.10,-.18,-.29,-.30,-.44,-.30,-.27,-.18
1906,-.28,-.30,-.16,-.04,-.24,-.21,-.25,-.20,-.27,-.19,-.38,-.16,-.22,-.22,-.25,-.15,-.22,-.28
1907,-.41,-.51,-.27,-.38,-.47,-.43,-.36,-.35,-.33,-.24,-.48,-.48,-.39,-.37,-.36,-.37,-.38,-.35
1908,-.43,-.30,-.53,-.45,-.41,-.41,-.39,-.46,-.35,-.44,-.49,-.49,-.43,-.43,-.40,-.46,-.42,-.43
1909,-.68,-.47,-.51,-.60,-.56,-.52,-.44,-.30,-.35,-.36,-.30,-.55,-.47,-.46,-.54,-.55,-.42,-.34
1910,-.44,-.44,-.50,-.40,-.34,-.37,-.34,-.35,-.36,-.38,-.53,-.66,-.43,-.42,-.47,-.41,-.35,-.42
1911,-.63,-.58,-.60,-.53,-.51,-.47,-.41,-.41,-.37,-.23,-.18,-.22,-.43,-.47,-.62,-.55,-.43,-.26
1912,-.26,-.12,-.35,-.20,-.22,-.26,-.44,-.54,-.51,-.56,-.38,-.43,-.35,-.34,-.20,-.25,-.41,-.48
1913,-.41,-.43,-.43,-.39,-.47,-.48,-.36,-.33,-.35,-.33,-.18,-.03,-.35,-.38,-.42,-.43,-.39,-.29
1914,.04,-.11,-.22,-.29,-.23,-.26,-.24,-.14,-.13,-.04,-.17,-.08,-.15,-.15,-.03,-.24,-.22,-.11
1915,-.17,.00,-.09,.06,-.06,-.20,-.10,-.19,-.16,-.24,-.12,-.16,-.12,-.11,-.08,-.03,-.17,-.18
1916,-.08,-.12,-.28,-.30,-.32,-.46,-.36,-.25,-.31,-.27,-.39,-.80,-.33,-.27,-.12,-.30,-.35,-.32
1917,-.58,-.61,-.60,-.50,-.55,-.43,-.25,-.21,-.17,-.40,-.28,-.67,-.44,-.45,-.66,-.55,-.30,-.28
1918,-.41,-.31,-.24,-.45,-.45,-.35,-.31,-.29,-.14,-.05,-.10,-.27,-.28,-.31,-.46,-.38,-.32,-.10
1919,-.19,-.22,-.19,-.12,-.27,-.36,-.28,-.31,-.21,-.18,-.40,-.40,-.26,-.25,-.23,-.19,-.32,-.26
1920,-.21,-.21,-.07,-.25,-.26,-.35,-.30,-.23,-.18,-.26,-.26,-.43,-.25,-.25,-.28,-.19,-.30,-.23
1921,-.01,-.18,-.22,-.29,-.28,-.27,-.14,-.23,-.16,-.02,-.12,-.16,-.17,-.20,-.21,-.26,-.21,-.10
1922,-.33,-.43,-.12,-.23,-.33,-.32,-.24,-.30,-.31,-.31,-.13,-.18,-.27,-.27,-.31,-.23,-.29,-.25
1923,-.28,-.36,-.34,-.39,-.34,-.25,-.29,-.29,-.27,-.11,.02,-.02,-.24,-.26,-.27,-.36,-.28,-.12
1924,-.21,-.23,-.06,-.31,-.18,-.22,-.25,-.33,-.30,-.33,-.19,-.41,-.25,-.22,-.15,-.18,-.27,-.27
1925,-.36,-.37,-.24,-.24,-.30,-.32,-.27,-.15,-.15,-.17,.05,.09,-.20,-.25,-.38,-.26,-.25,-.09
1926,.20,.07,.12,-.12,-.21,-.22,-.23,-.12,-.12,-.09,-.04,-.27,-.09,-.06,.12,-.07,-.19,-.08
1927,-.26,-.17,-.36,-.30,-.24,-.25,-.15,-.20,-.10,.00,-.02,-.32,-.20,-.19,-.24,-.30,-.20,-.04
1928,.00,-.07,-.26,-.27,-.29,-.37,-.18,-.21,-.18,-.16,-.08,-.17,-.19,-.20,-.13,-.28,-.25,-.14
1929,-.46,-.59,-.31,-.39,-.38,-.40,-.32,-.29,-.22,-.12,-.11,-.53,-.34,-.31,-.41,-.36,-.34,-.15
1930,-.30,-.27,-.08,-.24,-.23,-.20,-.19,-.12,-.12,-.08,.17,-.06,-.14,-.18,-.36,-.18,-.17,-.01
1931,-.10,-.23,-.07,-.21,-.19,-.07,-.02,-.03,-.06,.02,-.11,-.09,-.10,-.09,-.13,-.16,-.04,-.05
1932,.14,-.18,-.19,-.06,-.19,-.30,-.24,-.23,-.11,-.11,-.26,-.25,-.16,-.15,-.04,-.15,-.25,-.16
1933,-.34,-.34,-.30,-.25,-.29,-.33,-.21,-.24,-.27,-.21,-.29,-.46,-.29,-.28,-.31,-.28,-.26,-.26
1934,-.24,-.04,-.33,-.30,-.11,-.15,-.10,-.11,-.16,-.08,.03,-.04,-.14,-.17,-.25,-.25,-.12,-.07
1935,-.33,.15,-.13,-.36,-.30,-.27,-.23,-.22,-.21,-.08,-.28,-.20,-.21,-.19,-.08,-.26,-.24,-.19
1936,-.29,-.39,-.22,-.20,-.18,-.21,-.09,-.14,-.10,-.04,-.04,-.03,-.16,-.18,-.29,-.20,-.15,-.06
1937,-.13,.03,-.18,-.17,-.08,-.05,-.05,.01,.11,.08,.09,-.12,-.04,-.03,-.05,-.15,-.03,.09
1938,.01,-.02,.07,.04,-.10,-.18,-.10,-.06,.02,.11,.04,-.22,-.03,-.02,-.04,.00,-.11,.05
1939,-.08,-.08,-.20,-.10,-.06,-.08,-.08,-.08,-.07,-.03,.06,.44,-.03,-.09,-.13,-.12,-.08,-.02
1940,-.06,.13,.15,.18,.09,.08,.12,.04,.13,.07,.17,.27,.11,.13,.17,.14,.08,.12
1941,.21,.32,.08,.17,.14,.11,.21,.14,.02,.33,.24,.20,.18,.19,.27,.13,.15,.19
1942,.26,.02,.09,.10,.09,.04,.00,-.04,-.05,-.01,.08,.07,.05,.06,.16,.09,.00,.01
1943,-.04,.13,-.08,.07,.04,-.06,.08,.00,.06,.22,.19,.24,.07,.06,.05,.01,.01,.16
1944,.35,.26,.26,.19,.19,.20,.18,.17,.29,.26,.10,.02,.21,.22,.28,.22,.18,.22
1945,.10,-.02,.06,.18,.04,-.01,.02,.26,.22,.18,.07,-.09,.09,.09,.03,.10,.09,.16
1946,.15,.07,.00,.06,-.08,-.21,-.14,-.17,-.07,-.06,-.06,-.35,-.07,-.05,.04,-.01,-.17,-.06
1947,-.13,-.08,.07,.07,-.04,.02,-.08,-.09,-.13,.05,.02,-.16,-.04,-.06,-.19,.03,-.05,-.02
1948,.07,-.16,-.25,-.11,.01,-.04,-.12,-.12,-.11,-.07,-.12,-.23,-.11,-.10,-.09,-.12,-.09,-.10
1949,.09,-.17,-.02,-.10,-.08,-.23,-.14,-.11,-.14,-.06,-.10,-.22,-.11,-.11,-.10,-.07,-.16,-.10
1950,-.33,-.28,-.07,-.20,-.10,-.03,-.10,-.16,-.12,-.22,-.38,-.20,-.18,-.18,-.28,-.12,-.10,-.24
1951,-.35,-.43,-.21,-.13,.00,-.02,.03,.06,.09,.05,-.02,.14,-.07,-.09,-.32,-.11,.02,.04
1952,.13,.11,-.10,.02,-.02,-.04,.04,.04,.07,.00,-.14,-.01,.01,.02,.12,-.03,.01,-.02
1953,.08,.14,.11,.18,.09,.10,.00,.06,.04,.06,-.06,.02,.07,.07,.07,.13,.05,.02
1954,-.28,-.13,-.15,-.16,-.22,-.17,-.19,-.16,-.10,-.04,.06,-.22,-.15,-.13,-.13,-.18,-.17,-.03
1955,.14,-.18,-.35,-.22,-.21,-.12,-.13,.01,-.11,-.05,-.24,-.30,-.15,-.14,-.09,-.26,-.08,-.14
1956,-.16,-.26,-.23,-.27,-.31,-.16,-.12,-.26,-.20,-.24,-.17,-.08,-.21,-.23,-.24,-.27,-.18,-.21
1957,-.11,-.04,-.06,-.01,.09,.16,.01,.15,.09,.01,.06,.16,.04,.02,-.07,.00,.11,.06
1958,.39,.24,.11,.03,.06,-.08,.05,-.04,-.02,.04,.02,.00,.07,.08,.26,.07,-.02,.01
1959,.08,.09,.18,.13,.04,.02,.06,-.02,-.06,-.09,-.09,-.02,.03,.03,.06,.12,.02,-.08
1960,-.01,.16,-.34,-.14,-.07,-.04,-.03,.01,.07,.07,-.12,.18,-.02,-.04,.05,-.18,-.02,.01
1961,.07,.19,.09,.12,.11,.11,.00,.03,.07,.00,.03,-.15,.06,.08,.15,.11,.05,.03
1962,.07,.14,.12,.04,-.04,.05,.02,-.01,.01,.00,.07,.00,.04,.03,.02,.04,.02,.03
1963,-.02,.20,-.14,-.06,-.04,.05,.08,.27,.20,.15,.15,-.01,.07,.07,.06,-.08,.13,.17
1964,-.08,-.13,-.23,-.31,-.24,-.02,-.03,-.21,-.29,-.31,-.21,-.30,-.20,-.17,-.07,-.26,-.09,-.27
1965,-.07,-.17,-.11,-.19,-.14,-.09,-.12,-.03,-.16,-.05,-.06,-.06,-.10,-.12,-.18,-.14,-.08,-.09
1966,-.17,.00,.05,-.12,-.11,.01,.09,-.08,-.02,-.15,-.02,-.05,-.05,-.05,-.08,-.06,.01,-.06
1967,-.06,-.21,.04,-.05,.15,-.08,.01,.01,-.06,.09,-.06,-.03,-.02,-.02,-.10,.05,-.02,-.01
1968,-.25,-.15,.21,-.05,-.13,-.07,-.12,-.09,-.18,.11,-.03,-.12,-.07,-.07,-.14,.01,-.09,-.03
1969,-.10,-.14,.01,.18,.19,.05,-.02,.03,.09,.13,.13,.28,.07,.04,-.12,.13,.02,.12
1970,.09,.22,.08,.09,-.04,-.02,-.02,-.09,.11,.06,.02,-.12,.03,.07,.20,.04,-.04,.06
1971,-.02,-.19,-.17,-.08,-.05,-.19,-.11,-.03,-.04,-.06,-.05,-.09,-.09,-.09,-.11,-.10,-.11,-.05
1972,-.24,-.16,.02,.00,-.04,.06,.01,.17,.02,.09,.04,.19,.01,-.01,-.16,.00,.08,.05
1973,.29,.31,.27,.26,.25,.18,.10,.03,.10,.14,.06,-.06,.16,.18,.26,.26,.10,.10
1974,-.15,-.29,-.06,-.12,-.02,-.06,-.05,.11,-.11,-.08,-.07,-.09,-.08,-.08,-.17,-.07,.00,-.09
1975,.07,.06,.13,.05,.16,.00,-.01,-.19,-.03,-.09,-.16,-.17,-.01,-.01,.01,.11,-.07,-.09
1976,-.01,-.06,-.21,-.08,-.24,-.16,-.10,-.15,-.09,-.26,-.04,.10,-.11,-.13,-.08,-.18,-.13,-.13
1977,.19,.22,.25,.27,.30,.24,.20,.16,.00,.02,.17,.03,.17,.18,.17,.27,.20,.06
1978,.06,.14,.21,.15,.06,-.02,.03,-.18,.05,.00,.15,.10,.06,.06,.07,.14,-.06,.07
1979,.12,-.10,.18,.13,.05,.13,.02,.14,.25,.24,.28,.47,.16,.13,.04,.12,.10,.26
1980,.30,.42,.30,.33,.36,.17,.28,.23,.19,.18,.29,.20,.27,.29,.40,.33,.23,.22
1981,.55,.41,.49,.31,.24,.32,.34,.32,.17,.14,.24,.43,.33,.31,.38,.35,.33,.18
1982,.10,.15,-.01,.09,.15,.05,.13,.07,.14,.13,.15,.43,.13,.13,.23,.08,.08,.14
1983,.51,.40,.42,.31,.36,.20,.17,.33,.39,.16,.32,.17,.31,.33,.45,.36,.24,.29
1984,.30,.17,.29,.08,.33,.05,.17,.16,.21,.16,.06,-.05,.16,.18,.21,.23,.13,.14
1985,.22,-.07,.17,.11,.17,.18,-.01,.14,.15,.11,.08,.15,.12,.10,.03,.15,.10,.11
1986,.28,.39,.27,.24,.24,.11,.11,.12,.00,.13,.11,.16,.18,.18,.27,.25,.11,.08
1987,.36,.45,.16,.22,.25,.37,.45,.28,.39,.32,.25,.48,.33,.31,.33,.21,.37,.32
1988,.57,.43,.51,.45,.43,.43,.34,.47,.41,.40,.12,.33,.41,.42,.49,.47,.41,.31
1989,.15,.35,.37,.33,.16,.14,.33,.37,.37,.32,.20,.38,.29,.29,.28,.29,.28,.30
1990,.40,.41,.76,.55,.46,.38,.43,.30,.29,.41,.45,.41,.44,.44,.40,.59,.37,.38
1991,.41,.49,.35,.52,.37,.53,.47,.39,.48,.30,.31,.32,.41,.42,.43,.41,.46,.36
1992,.44,.42,.47,.23,.32,.26,.12,.07,.00,.09,.03,.22,.22,.23,.39,.34,.15,.04
1993,.37,.39,.36,.27,.27,.25,.28,.13,.10,.22,.06,.16,.24,.24,.32,.30,.22,.13
1994,.27,.02,.26,.40,.28,.43,.31,.21,.29,.41,.46,.36,.31,.29,.15,.32,.31,.39
1995,.51,.78,.45,.47,.26,.41,.47,.46,.33,.47,.45,.28,.45,.45,.55,.39,.45,.42
1996,.25,.48,.32,.36,.27,.25,.36,.48,.25,.19,.41,.40,.34,.32,.34,.32,.36,.28
1997,.32,.38,.53,.36,.36,.53,.35,.41,.53,.62,.65,.59,.47,.45,.37,.41,.43,.60
1998,.60,.90,.63,.63,.69,.77,.68,.66,.41,.44,.49,.56,.62,.62,.70,.65,.70,.45
1999,.48,.65,.34,.32,.31,.37,.37,.31,.41,.39,.38,.43,.40,.41,.56,.33,.35,.39
2000,.24,.56,.57,.57,.36,.41,.39,.42,.41,.28,.33,.29,.40,.41,.41,.50,.41,.34
2001,.42,.44,.56,.51,.57,.54,.60,.48,.54,.51,.70,.56,.54,.51,.39,.54,.54,.58
2002,.75,.76,.90,.56,.64,.55,.61,.53,.63,.55,.58,.44,.62,.63,.69,.70,.56,.59
2003,.73,.55,.58,.53,.61,.48,.53,.65,.65,.74,.53,.73,.61,.58,.57,.57,.55,.64
2004,.59,.72,.64,.62,.38,.43,.24,.44,.50,.63,.71,.51,.53,.55,.68,.55,.37,.61
2005,.72,.56,.68,.67,.63,.66,.64,.61,.75,.76,.72,.65,.67,.66,.60,.66,.63,.74
2006,.56,.68,.61,.49,.46,.64,.52,.70,.62,.67,.69,.74,.61,.61,.63,.52,.62,.66
2007,.95,.70,.68,.73,.66,.59,.60,.57,.60,.57,.55,.46,.64,.66,.79,.69,.58,.57
2008,.22,.34,.73,.51,.47,.45,.59,.43,.63,.63,.65,.53,.51,.51,.34,.57,.49,.63
2009,.61,.51,.52,.58,.64,.65,.70,.66,.67,.63,.76,.65,.63,.62,.55,.58,.67,.69
2010,.73,.79,.92,.85,.73,.62,.59,.63,.59,.69,.77,.46,.70,.71,.73,.83,.61,.68
2011,.48,.51,.62,.62,.51,.57,.70,.71,.53,.63,.55,.53,.58,.57,.48,.58,.66,.57
2012,.45,.47,.56,.68,.74,.63,.54,.61,.72,.75,.74,.52,.62,.62,.48,.66,.59,.74
2013,.66,.55,.66,.53,.58,.66,.57,.66,.77,.67,.79,.65,.65,.63,.58,.59,.63,.74
2014,.73,.52,.76,.77,.85,.67,.56,.80,.88,.81,.66,.78,.73,.72,.64,.79,.68,.78
2015,.81,.87,.90,.74,.75,.79,.71,.79,.82,1.07,1.03,1.11,.87,.84,.82,.80,.76,.97
2016,1.15,1.34,1.31,1.08,.91,.77,.82,1.00,.88,.89,.90,.82,.99,1.01,1.20,1.10,.86,.89
2017,.96,1.12,1.12,.92,.89,.71,.81,.87,.76,.88,.84,.88,.90,.89,.97,.98,.80,.83
2018,.78,.81,.91,.87,.82,.75,.78,.77,***,***,***,***,***,***,.82,.87,.77,***
