Property Name,Property Number,Site Name,Site ID,Borough,Community Board,Drinking Fountains
AMERICAN PLAYGROUND,B001,American Playground,B001,B,301,1
AMERSFORT PARK,B002,Amersfort Park,B002,B,318,2
BENSONHURST PARK,B007,Bensonhurst Park,B007,B,311,5
BENSONHURST PARK,B007,Bensonhurst Park,B007-01,B,311,1
BETSY HEAD PARK,B008,Betsy Head Park,B008,B,316,3
BETSY HEAD PARK,B008,Imagination Playground at Betsy Head,B008-03,B,316,2
BROWER PARK,B012,Brower Park,B012,B,308,1
BROWER PARK,B012,Brower Park,B012-03,B,308,1
MARIA HERNANDEZ PARK,B016,Maria Hernandez Park,B016,B,304,4
MARIA HERNANDEZ PARK,B016,Maria Hernandez Park,B016-01,B,304,1
MARIA HERNANDEZ PARK,B016,Maria Hernandez Park,B016-02,B,304,1
BUSHWICK PLAYGROUND,B017,Bushwick Playground,B017,B,304,5
CANARSIE PARK,B018,Dinapoli Plgd,B018-01,B,318,3
CANARSIE PARK,B018,Canarsie Playground,B018-02,B,318,1
CANARSIE PARK,B018,Canarsie Park Zone 1,B018-ZN01,B,318,6
CANARSIE PARK,B018,Canarsie Park Zone 2,B018-ZN02,B,318,1
CARROLL PARK,B019,Carroll Park,B019,B,306,3
COM JOHN BARRY PARK,B021,Commodore Barry Park,B021,B,302,5
COM JOHN BARRY PARK,B021,Commodore Barry Park,B021-01,B,302,1
MIDDLETON PLAYGROUND,B022,Middleton Playground,B022,B,301,1
LAFAYETTE PLGD,B023,Lafayette Playground,B023,B,303,2
COOPER PARK,B025,Cooper Park,B025,B,301,5
COOPER PARK,B025,Carnegie Plgd,B025-01,B,301,1
CUYLER GORE,B026,Cuyler Gore Park,B026,B,302,1
DYKER BEACH PARK,B028,Bay 8 Playground,B028-01,B,310,1
DYKER BEACH PARK,B028,Dyker Plgd,B028-03,B,310,3
DYKER BEACH PARK,B028,Dyker Beach Park Zone 1,B028-ZN01,B,310,9
DYKER BEACH PARK,B028,Dyker Beach Park Zone 2,B028-ZN02,B,310,7
FORT GREENE PARK,B032,Fort Greene Plgd,B032-01,B,302,2
FORT GREENE PARK,B032,Fort Greene Park,B032-02,B,302,1
FORT GREENE PARK,B032,Fort Greene Park Zone 2,B032-ZN02,B,302,2
FORT GREENE PARK,B032,Fort Greene Park Zone 3,B032-ZN03,B,302,1
JOHN PAUL JONES PARK,B035,John Paul Jones Park,B035,B,310,2
FULTON PARK,B038,Fulton Park,B038,B,303,2
GREENPOINT PLAYGROUND,B043,Greenpoint Playground,B043,B,301,1
DR RONALD MCNAIR PARK,B044,Dr. Ronald McNair Park,B044,B,309,2
IRVING SQUARE PARK,B049,Irving Square Park,B049,B,304,2
VAN VOORHEES PARK,B050,Van Voorhees Park,B050,B,306,6
WM E KELLY MEMORIAL PARK,B051,Kelly Park,B051,B,315,6
LEIF ERICSON PARK & SQUARE,B052,Leif Ericson Park,B052,B,310,2
LEIF ERICSON PARK,B052,Millennium Playground,B052-01,B,310,1
LEIF ERICSON PARK,B052,Leif Ericson Park,B052-03,B,310,4
LINCOLN TERRACE PARK / ARTHUR S. SOMERS,B054,Lincoln Terrace Park / Arthur S. Somers,B054-01,B,308,4
LINCOLN TERRACE PARK / ARTHUR S. SOMERS,B054,Lincoln Terr Pk/Arthur S Somers Zone 1,B054-ZN01,B,308,5
LINCOLN TERRACE PARK / ARTHUR S. SOMERS,B054,Lincoln Terr Pk/Arthur S Somers Zone 2,B054-ZN02,B,308,1
LINCOLN TERRACE PARK / ARTHUR S. SOMERS,B054,Lincoln Terr Pk/Arthur S Somers Zone 3,B054-ZN03,B,308,4
STERNBERG PARK,B055,Sternberg Park,B055,B,301,7
DR MARTIN LUTHER KING JR PARK,B056,Martin Luther King Jr. Playground,B056,B,305,2
MARINE PARK,B057,PS 278 Plgd,B057-03,B,315-318,1
MARINE PARK,B057,Lenape Playground,B057-04,B,315-318,1
MARINE PARK,B057,Dr John's Plgd,B057-05,B,315-318,3
MARINE PARK,B057,Seba Playground,B057-06,B,315-318,2
MARINE PARK,B057,Marine Park Zone 4,B057-ZN04,B,315-318,6
MARINE PARK,B057,Marine Park Zone 5,B057-ZN05,B,315-318,1
