the_geom,Name,STREETNAME,HOUSENUM,CITY,ZIP,URL,BIN,BBL,X,Y,SYSTEM,BOROCODE,,long,lat
POINT (-73.96760677135273 40.79587354648015),Bloomingdale,West 100th Street,150,New York,10025,http://www.nypl.org/locations/bloomingdale,1055906,1018520049,993219.1042,229236.8125,NYPL,1,-73.96760677135273 40.79587354,-73.967606,40.795873
POINT (-73.89450288645044 40.86298060519321),Bronx Library Center,East Kingsbridge Road,310,Bronx,10458,http://www.nypl.org/locations/bronx-library-center,2116006,2031540083,1013430.807,253702.2928,NYPL,2,-73.89450288645044 40.86298060,-73.894502,40.86298
POINT (-73.85017019717382 40.82662920810023),Castle Hill,Castle Hill Avenue,947,Bronx,10473,http://www.nypl.org/locations/castle-hill,2022944,2036880042,1025716,240476,NYPL,2,-73.85017019717382 40.82662920,-73.85017,40.826629
POINT (-73.99648986636721 40.71333307050747),Chatham Square,East Broadway,33,New York,10002,http://www.nypl.org/locations/chatham-square,1003425,1002800044,985223.0981,199162.9967,NYPL,1,-73.99648986636721 40.71333307,-73.996489,40.713333
POINT (-73.78636658900808 40.8476919036199),City Island,City Island Avenue,320,Bronx,10464,http://www.nypl.org/locations/city-island,2082611,2056440007,1043355.16,248186.5342,NYPL,2,-73.78636658900808 40.84769190,-73.786366,40.847691
POINT (-73.87502060024048 40.82999287527917),Clason's Point,Morrison Avenue,1215,Bronx,10472,http://www.nypl.org/locations/clasons-point,2025381,2037770062,1018836.808,241690.7181,NYPL,2,-73.87502060024048 40.82999287,-73.87502,40.829992
POINT (-73.99122081783712 40.764934618394804),Columbus,10th Avenue,742,New York,10019,http://www.nypl.org/locations/columbus,1026706,1010600063,986681.9279,217963.177,NYPL,1,-73.99122081783712 40.76493461,-73.99122,40.764934
POINT (-73.94116092350963 40.81483582138157),Countee Cullen,West 136th Street,104,New York,10030,http://www.nypl.org/locations/countee-cullen,1058275,1019200026,1000536.844,236149.25,NYPL,1,-73.94116092350963 40.81483582,-73.94116,40.814835
POINT (-74.1011372893581 40.59039133599787),Dongan Hills,Richmond Road,1617,Staten Island,10304,http://www.nypl.org/locations/dongan-hills,5022895,5008830008,956160.4689,154388.1152,NYPL,5,-74.1011372893581 40.590391335,-74.101137,40.590391
POINT (-73.84506427532864 40.87013970297055),Eastchester,East Gun Hill Road,1385,Bronx,10469,http://www.nypl.org/locations/eastchester,2061767,2047620022,1027101.044,256330.9559,NYPL,2,-73.84506427532864 40.87013970,-73.845064,40.870139
POINT (-73.84083712785493 40.88889489584642),Edenwald,East 233rd Street,1255,Bronx,10466,http://www.nypl.org/locations/edenwald,2066596,2049560001,1028257.742,263166.3061,NYPL,2,-73.84083712785493 40.88889489,-73.840837,40.888894
POINT (-73.98204888964264 40.738087120390595),Epiphany,East 23rd Street,228,New York,10010,http://www.nypl.org/locations/epiphany,1019661,1009030046,989224.6551,208182.1542,NYPL,1,-73.98204888964264 40.73808712,-73.982048,40.738087
POINT (-73.93386591312449 40.847870041168214),Fort Washington,West 179th Street,535,New York,10033,http://www.nypl.org/locations/fort-washington,1063632,1021530053,1002547.039,248186.2701,NYPL,1,-73.93386591312449 40.84787004,-73.933865,40.84787
POINT (-73.90931635032427 40.85742189422779),Francis Martin,University Avenue,2150,Bronx,10453,http://www.nypl.org/locations/francis-martin,2014579,2032110005,1009335.458,251672.4524,NYPL,2,-73.90931635032427 40.85742189,-73.909316,40.857421
POINT (-73.95705320654999 40.813768964572695),George Bruce,West 125th Street,518,New York,10027,http://www.nypl.org/locations/george-bruce,1059688,1019800022,996138,235758,NYPL,1,-73.95705320654999 40.81376896,-73.957053,40.813768
POINT (-73.97356771683344 40.754067875550625),Grand Central,East 46th Street,135,New York,10017,http://www.nypl.org/locations/grand-central,1036206,1013010023,991573.2212,214005.0501,NYPL,1,-73.97356771683344 40.75406787,-73.973567,40.754067
POINT (-73.91008714449384 40.844001911750446),Grand Concourse,East 173rd Street,155,Bronx,10457,http://www.nypl.org/locations/grand-concourse,2007870,2028240034,1009127.255,246782.8251,NYPL,2,-73.91008714449384 40.84400191,-73.910087,40.844001
POINT (-74.15111164313684 40.55242326280796),Great Kills,Giffords Lane,56,Staten Island,10308,http://www.nypl.org/locations/great-kills,5070285,5054360019,942256.9088,140575.4151,NYPL,5,-74.15111164313684 40.55242326,-74.151111,40.552423
POINT (-73.97942314417445 40.71978015438276),Hamilton Fish Park,East Houston Street,415,New York,10002,http://www.nypl.org/locations/hamilton-fish-park,1004070,1003350001,989953.8746,201512.5166,NYPL,1,-73.97942314417445 40.71978015,-73.979423,40.71978
POINT (-73.94803241890192 40.82567237379984),Hamilton Grange,West 145th Street,503,New York,10031,http://www.nypl.org/locations/hamilton-grange,1061938,1020770026,998632.4499,240096.1941,NYPL,1,-73.94803241890192 40.82567237,-73.948032,40.825672
POINT (-73.94331559838257 40.80616044207548),Harlem,West 124th Street,9,New York,10027,http://www.nypl.org/locations/harlem,1053460,1017220030,999942.4683,232988.1079,NYPL,1,-73.94331559838257 40.80616044,-73.943315,40.80616
POINT (-73.92355090156951 40.837960016855035),High Bridge,West 168th Street,78,Bronx,10452,http://www.nypl.org/locations/high-bridge,2003163,2025100027,1005404,244578,NYPL,2,-73.92355090156951 40.83796001,-73.92355,40.83796
POINT (-74.00533101445356 40.72998291458653),Hudson Park,Leroy Street,66,New York,10014,http://www.nypl.org/locations/hudson-park,1009760,1005820018,982772.4767,205229.0729,NYPL,1,-74.00533101445356 40.72998291,-74.005331,40.729982
POINT (-74.19322900650182 40.534078493080344),Huguenot Park,Huguenot Avenue,830,Staten Island,10312,http://www.nypl.org/locations/huguenot-park,5083401,5068170001,930538,133915,NYPL,5,-74.19322900650182 40.53407849,-74.193229,40.534078
POINT (-73.89413216580388 40.818670087188615),Hunts Point,Southern Boulevard,877,Bronx,10459,http://www.nypl.org/locations/hunts-point,2005755,2027220063,1013552.86,237558.448,NYPL,2,-73.89413216580388 40.81867008,-73.894132,40.81867
POINT (-73.92586290917251 40.865748720737024),Inwood,Broadway,4790,New York,10034,http://www.nypl.org/locations/inwood,1064894,1022330013,1004755.683,254701.9306,NYPL,1,-73.92586290917251 40.86574872,-73.925862,40.865748
POINT (-73.99916928513315 40.73463470830847),Jefferson Market,Avenue of the Americas,425,New York,10011,http://www.nypl.org/locations/jefferson-market,1082668,1006060001,984480.2216,206923.8232,NYPL,1,-73.99916928513315 40.73463470,-73.999169,40.734634
POINT (-73.90119235962918 40.86906986689302),Jerome Park,Eames Place,118,Bronx,10468,http://www.nypl.org/locations/jerome-park,2015263,2032480070,1011577.977,255918.6894,NYPL,2,-73.90119235962918 40.86906986,-73.901192,40.869069
POINT (-73.90770595199646 40.88069989038004),Kingsbridge,West 231st Street,291,Bronx,10463,http://www.nypl.org/locations/kingsbridge,2119474,2057130123,1009772,260154,NYPL,2,-73.90770595199646 40.88069989,-73.907705,40.880699
POINT (-73.97990195853163 40.74380962013242),Kips Bay,Third Avenue,446,New York,10016,http://www.nypl.org/locations/kips-bay,1018325,1008860051,989819.1396,210267.1716,NYPL,1,-73.97990195853163 40.74380962,-73.979901,40.743809
POINT (-73.93586246250698 40.82653201339423),Macomb's Bridge,Adam Clayton Powell Jr. Boulevard,2650,New York,10039,http://www.nypl.org/locations/macombs-bridge,1084156,1020370011,1002000.354,240411.6243,NYPL,1,-73.93586246250698 40.82653201,-73.935862,40.826532
POINT (-74.16658190502365 40.63469343184469),Mariners Harbor,South Ave,206,Staten Island,10303,http://www.nypl.org/locations/mariners-harbor,5109138,5012660064,938014.8125,170556.2708,NYPL,5,-74.16658190502365 40.63469343,-74.166581,40.634693
POINT (-73.91758393603561 40.826584558970666),Melrose,Morris Avenue,910,Bronx,10451,http://www.nypl.org/locations/melrose,2001950,2024220001,1007059,240435,NYPL,2,-73.91758393603561 40.82658455,-73.917583,40.826584
POINT (-73.98169851078917 40.75189156171031),Mid-Manhattan,Fifth Avenue,455,New York,10016,http://www.nypl.org/locations/mid-manhattan-library,1017602,1008690074,989320.7021,213211.5733,NYPL,1,-73.98169851078917 40.75189156,-73.981698,40.751891
POINT (-73.96477561597041 40.80613025800837),Morningside Heights,Broadway,2900,New York,10025,http://www.nypl.org/locations/morningside-heights,1057018,1018857501,994001.4974,232973.994,NYPL,1,-73.96477561597041 40.80613025,-73.964775,40.80613
POINT (-73.85695785375374 40.84802911005552),Morris Park,Morris Park Avenue,985,Bronx,10462,http://www.nypl.org/locations/morris-park,2045398,2041260040,1023824.759,248269.6298,NYPL,2,-73.85695785375374 40.84802911,-73.856957,40.848029
POINT (-73.90179407206183 40.83126291201479),Morrisania,East 169th Street,610,Bronx,10456,http://www.nypl.org/locations/morrisania,2004303,2026150023,1011427,242144,NYPL,2,-73.90179407206183 40.83126291,-73.901794,40.831262
POINT (-73.87838435032448 40.87437981398938),Mosholu,East 205th Street,285,Bronx,10467,http://www.nypl.org/locations/mosholu,2018123,2033410076,1017883.472,257861.2471,NYPL,2,-73.87838435032448 40.87437981,-73.878384,40.874379
POINT (-73.92438195200242 40.81158963775246),Mott Haven,East 140th Street,321,Bronx,10454,http://www.nypl.org/locations/mott-haven,2000744,2023150018,1005182.336,234970.1142,NYPL,2,-73.92438195200242 40.81158963,-73.924381,40.811589
POINT (-73.9959685690698 40.74448733065495),Muhlenberg,West 23rd Street,209,New York,10011,http://www.nypl.org/locations/muhlenberg,1014150,1007730038,985367.0924,210513.47,NYPL,1,-73.9959685690698 40.744487330,-73.995968,40.744487
POINT (-73.99568416859454 40.72413926605543),Mulberry Street,Jersey Street,10,New York,10012,http://www.nypl.org/locations/mulberry-street,1007931,1005107501,985446.264,203100.0348,NYPL,1,-73.99568416859454 40.72413926,-73.995684,40.724139
POINT (-74.00786921340098 40.71357685109021),New Amsterdam,Murray Street,9,New York,10007,http://www.nypl.org/locations/new-amsterdam,1001446,1001347503,982068.4624,199251.8918,NYPL,1,-74.00786921340098 40.71357685,-74.007869,40.713576
POINT (-74.11195814748115 40.57193184836513),New Dorp,New Dorp Lane,309,Staten Island,10306,http://www.nypl.org/locations/new-dorp,5052750,5036430005,953146.5261,147666.5239,NYPL,5,-74.11195814748115 40.57193184,-74.111958,40.571931
POINT (-73.98454684522841 40.7735069911927),"Library for the Performing Arts, Dorothy and Lewis B. Cullman Center",Lincoln Center Plaza,40,New York,10023,http://www.nypl.org/locations/lpa,1028832,1011340025,988530.1391,221086.633,NYPL,1,-73.98454684522841 40.77350699,-73.984546,40.773506
POINT (-73.98774284104663 40.72890664078863),Ottendorfer,Second Avenue,135,New York,10003,http://www.nypl.org/locations/ottendorfer,1079841,1004640039,987647.2016,204837.1454,NYPL,1,-73.98774284104663 40.72890664,-73.987742,40.728906
POINT (-73.85835004816082 40.83378098529545),Parkchester,Westchester Avenue,1985,Bronx,10462,http://www.nypl.org/locations/parkchester,2028890,2039300059,1023447.982,243077.8856,NYPL,2,-73.85835004816082 40.83378098,-73.85835,40.83378
POINT (-73.82790017237492 40.844317529931516),Pelham Bay,Middletown Road,3060,Bronx,10461,http://www.nypl.org/locations/pelham-bay,2074963,2054040002,1031866.65,246931.8248,NYPL,2,-73.82790017237492 40.84431752,-73.8279,40.844317
POINT (-73.8641466616336 40.85487588027384),Pelham Parkway-Van Nest,Barnes Avenue,2147,Bronx,10462,http://www.nypl.org/locations/pelham-parkway-van-nest,2049427,2043210070,1021832,250761,NYPL,2,-73.8641466616336 40.854875880,-73.864146,40.854875
POINT (-74.13110461508398 40.63758561600359),Port Richmond,Bennett Street,75,Staten Island,10302,http://www.nypl.org/locations/port-richmond,5023763,5010070026,947863.184,171593.2389,NYPL,5,-74.13110461508398 40.63758561,-74.131104,40.637585
POINT (-74.13853387646311 40.566530146210184),Richmondtown,Clarke Avenue,200,Staten Island,10306,http://www.nypl.org/locations/richmondtown,5060744,5044700001,945760.3257,145709.1099,NYPL,5,-74.13853387646311 40.56653014,-74.138533,40.56653
POINT (-73.90277254280693 40.90372277707978),Riverdale,Mosholu Avenue,5540,Bronx,10471,http://www.nypl.org/locations/riverdale,2084790,2058481729,1011126.921,268543.647,NYPL,2,-73.90277254280693 40.90372277,-73.902772,40.903722
POINT (-73.98451216196563 40.77423207861022),Riverside,Amsterdam Avenue,127,New York,10023,http://www.nypl.org/locations/riverside,1077844,1011377501,988539.6988,221350.8082,NYPL,1,-73.98451216196563 40.77423207,-73.984512,40.774232
POINT (-73.95020567413508 40.76123275727826),Roosevelt Island,Main Street,524,New York,10044,http://www.nypl.org/locations/roosevelt-island,1084695,1013730030,998044.3296,216618.2658,NYPL,1,-73.95020567413508 40.76123275,-73.950205,40.761232
POINT (-73.94094393837611 40.81464862404033),Schomburg Center for Research in Black Culture,Malcolm X Boulevard,515,New York,10037,http://www.nypl.org/locations/schomburg,1058276,1019200029,1000596.952,236081.0876,NYPL,1,-73.94094393837611 40.81464862,-73.940943,40.814648
POINT (-73.98300921762814 40.74811515837409),"Science, Industry and Business Library (SIBL)",Madison Avenue,188,New York,10016,http://www.nypl.org/locations/sibl,1087934,1008647502,988957.8181,211835.6347,NYPL,1,-73.98300921762814 40.74811515,-73.983009,40.748115
POINT (-73.9174950173068 40.849444506294475),Sedgwick,Martin Luther King Jr. Boulevard,1701,Bronx,10453,http://www.nypl.org/locations/sedgwick,2100281,2028780224,1007075.764,248763.75,NYPL,2,-73.9174950173068 40.849444506,-73.917495,40.849444
POINT (-73.98850101814436 40.71440955033492),Seward Park,East Broadway,192,New York,10002,http://www.nypl.org/locations/seward-park,1004053,1003110031,987437.758,199555.3808,NYPL,1,-73.98850101814436 40.71440955,-73.988501,40.714409
POINT (-73.86288995608042 40.818709352248625),Soundview,Soundview Avenue,660,Bronx,10473,http://www.nypl.org/locations/soundview,2021838,2035580014,1022200.275,237584.747,NYPL,2,-73.86288995608042 40.81870935,-73.862889,40.818709
POINT (-74.06298045409709 40.59580257046463),South Beach,Robin Road,21-25,Staten Island,10305,http://www.nypl.org/locations/south-beach,5129317,5031210001,966759.4352,156349.6372,NYPL,5,-74.06298045409709 40.59580257,-74.06298,40.595802
POINT (-73.9146501854584 40.88628523559925),Spuyten Duyvil,West 235th Street,650,Bronx,10463,http://www.nypl.org/locations/spuyten-duyvil,2085867,2059150070,1007849.735,262187.0178,NYPL,2,-73.9146501854584 40.886285235,-73.91465,40.886285
POINT (-73.97745211592564 40.784834636708375),St. Agnes,Amsterdam Avenue,444,New York,10024,http://www.nypl.org/locations/st-agnes,1032683,1012290031,990494.1401,225214.1031,NYPL,1,-73.97745211592564 40.78483463,-73.977452,40.784834
POINT (-74.07667836343802 40.64179934831384),St. George Library Center,Central Avenue,5,Staten Island,10301,http://www.nypl.org/locations/st-george-library-center,5000030,5000050074,962970.0016,173110.4998,NYPL,5,-74.07667836343802 40.64179934,-74.076678,40.641799
POINT (-74.07786385638836 40.626256522293644),Stapleton,Canal Street,132,Staten Island,10304,http://www.nypl.org/locations/stapleton,5013792,5005260063,962635.9668,167448.123,NYPL,5,-74.07786385638836 40.62625652,-74.077863,40.626256
POINT (-73.98223080385785 40.75320442290988),Stephen A. Schwarzman Building,Fifth Avenue at 42nd Street,,New York,10018,http://www.nypl.org/locations/schwarzman,1034194,1012570001,989173.1254,213689.8608,NYPL,1,-73.98223080385785 40.75320442,-73.98223,40.753204
POINT (-73.97254082689402 40.75680235018433),Terence Cardinal Cooke-Cathedral,Lexington Avenue,560,New York,10022,http://www.nypl.org/locations/cathedral,1036451,1013050013,991857.4148,215001.3954,NYPL,1,-73.97254082689402 40.75680235,-73.97254,40.756802
POINT (-73.8190949368255 40.82287218481685),Throg's Neck,Cross Bronx Expressway Extension,3025,Bronx,10465,http://www.nypl.org/locations/throgs-neck,2077131,2054390001,1034319.019,239123.418,NYPL,2,-73.8190949368255 40.822872184,-73.819094,40.822872
POINT (-74.14852127833858 40.60960200172146),Todt Hill-Westerleigh,Victory Boulevard,2550,Staten Island,10314,http://www.nypl.org/locations/todt-hill-westerleigh,5035398,5020990005,943012.0762,161405.7968,NYPL,5,-74.14852127833858 40.60960200,-74.148521,40.609602
POINT (-73.98042071146763 40.72728802667872),Tompkins Square,East 10th Street,331,New York,10009,http://www.nypl.org/locations/tompkins-square,1005147,1004040039,989676.739,204247.8028,NYPL,1,-73.98042071146763 40.72728802,-73.98042,40.727288
POINT (-74.24410670826178 40.509531123859375),Tottenville,Amboy Road,7430,Staten Island,10307,http://www.nypl.org/locations/tottenville,5088113,5078990009,916370.6013,125007.1631,NYPL,5,-74.24410670826178 40.50953112,-74.244106,40.509531
POINT (-73.89834943816875 40.84604568736388),Tremont,Washington Avenue,1866,Bronx,10457,http://www.nypl.org/locations/tremont,2009573,2029180001,1012374,247531,NYPL,2,-73.89834943816875 40.84604568,-73.898349,40.846045
POINT (-73.8939211860628 40.88277969546436),Van Cortlandt,Sedgwick Avenue,3874,Bronx,10463,http://www.nypl.org/locations/van-cortlandt,2015233,2032460074,1013582.971,260916.0722,NYPL,2,-73.8939211860628 40.882779695,-73.893921,40.882779
POINT (-73.85958124409599 40.891085065406706),Wakefield,Lowerre Place,4100,Bronx,10466,http://www.nypl.org/locations/wakefield,2063175,2048320020,1023073.813,263955.4105,NYPL,2,-73.85958124409599 40.89108506,-73.859581,40.891085
POINT (-73.93971034945567 40.834548887305765),Washington Heights,St. Nicholas Avenue,1000,New York,10032,http://www.nypl.org/locations/washington-heights,1062551,1021090055,1000933.424,243331.7094,NYPL,1,-73.93971034945567 40.83454888,-73.93971,40.834548
POINT (-73.95134169404905 40.770652543462646),Webster,York Avenue,1465,New York,10021,http://www.nypl.org/locations/webster,1045991,1014720028,997727.7161,220050.0281,NYPL,1,-73.95134169404905 40.77065254,-73.951341,40.770652
POINT (-73.88301210482436 40.844644453005635),West Farms,Honeywell Avenue,2085,Bronx,10460,http://www.nypl.org/locations/west-farms,2013151,2031230061,1016618.11,247025.7736,NYPL,2,-73.88301210482436 40.84464445,-73.883012,40.844644
POINT (-74.11482187344863 40.63450894226954),West New Brighton,Castleton Avenue,976,Staten Island,10310,http://www.nypl.org/locations/west-new-brighton,5004936,5001780115,952380.8291,170465.981,NYPL,5,-74.11482187344863 40.63450894,-74.114821,40.634508
POINT (-73.84673061822738 40.84086754432402),Westchester Square,Glebe Avenue,2521,Bronx,10461,http://www.nypl.org/locations/westchester-square,2041911,2039860034,1026658.84,245665.1914,NYPL,2,-73.84673061822738 40.84086754,-73.84673,40.840867
POINT (-73.86794200000536 40.90043990975718),Woodlawn Heights,Katonah Avenue,4355,Bronx,10470,http://www.nypl.org/locations/woodlawn-heights,2019288,2033800054,1020757.045,267360.1648,NYPL,2,-73.86794200000536 40.90043990,-73.867942,40.900439
POINT (-73.90464799347694 40.82061890603643),Woodstock,East 160th Street,761,Bronx,10456,http://www.nypl.org/locations/woodstock,2004700,2026570030,1010641.442,238265.1298,NYPL,2,-73.90464799347694 40.82061890,-73.904647,40.820618
POINT (-73.95637252319334 40.77365564161395),Yorkville,East 79th Street,222,New York,10021,http://www.nypl.org/locations/yorkville,1044180,1014330037,996333.6974,221143.4228,NYPL,1,-73.95637252319334 40.77365564,-73.956372,40.773655
POINT (-73.88723723774561 40.68068925695902),Arlington,Arlington Avenue,203,Brooklyn,11207,http://www.bklynlibrary.org/locations/arlington,3087001,3039230052,1015526,187290,BPL,3,-73.88723723774561 40.68068925,-73.887237,40.680689
POINT (-74.02953835191357 40.633625713382486),Bay Ridge,Ridge Boulevard,7223,Brooklyn,11209,http://www.bklynlibrary.org/locations/bay-ridge,3147279,3059070001,976051.4271,170124.6923,BPL,3,-74.02953835191357 40.63362571,-74.029538,40.633625
POINT (-73.95616471363496 40.68181211172472),Bedford,Franklin Avenue,496,Brooklyn,11238,http://www.bklynlibrary.org/locations/bedford,3057384,3019970032,996408,187682,BPL,3,-73.95616471363496 40.68181211,-73.956164,40.681812
POINT (-73.98900318822345 40.638888838712376),Borough Park,43rd Street,1265,Brooklyn,11219,http://www.bklynlibrary.org/locations/borough-park,3135907,3055980048,987302,172041,BPL,3,-73.98900318822345 40.63888883,-73.989003,40.638888
POINT (-73.9667748761715 40.57610774698186),Brighton Beach <br> (Closed for Renovation),Brighton First Road,16,Brooklyn,11235,http://www.bklynlibrary.org/locations/brighton-beach,3245028,3086800032,993479.8099,149169.7808,BPL,3,-73.9667748761715 40.576107746,-73.966774,40.576107
POINT (-73.99134798814833 40.69568255523745),Brooklyn Heights,Cadman Plaza West,280,Brooklyn,11201,http://www.bklynlibrary.org/locations/brooklyn-heights,3001939,3002390016,986649.1924,192732.4843,BPL,3,-73.99134798814833 40.69568255,-73.991347,40.695682
POINT (-73.94856613670774 40.675370851852314),Brower Park,St. Marks Avenue,725,Brooklyn,11216,http://www.bklynlibrary.org/locations/brower-park,3030731,3012200063,998516.8921,185336.4102,BPL,3,-73.94856613670774 40.67537085,-73.948566,40.67537
POINT (-73.90860343294449 40.671526655858436),Brownsville,Glenmore Avenue,61,Brooklyn,11212,http://www.bklynlibrary.org/locations/brownsville,3080669,3034890150,1009603.335,183944.8979,BPL,3,-73.90860343294449 40.67152665,-73.908603,40.671526
POINT (-73.93961842135727 40.704559063938675),Bushwick,Bushwick Avenue,340,Brooklyn,11206,http://www.bklynlibrary.org/locations/bushwick,3071470,3030980019,1000991.508,195972.112,BPL,3,-73.93961842135727 40.70455906,-73.939618,40.704559
POINT (-73.89952442124468 40.64220845315574),Canarsie,Rockaway Parkway,1580,Brooklyn,11236,http://www.bklynlibrary.org/locations/canarsie,3230120,3082040068,1012134.096,173266.226,BPL,3,-73.89952442124468 40.64220845,-73.899524,40.642208
POINT (-73.99801906031493 40.683213515337584),Carroll Gardens,Clinton Street,396,Brooklyn,11231,http://www.bklynlibrary.org/locations/carroll-gardens,3004336,3003380033,984799.4149,188189.5361,BPL,3,-73.99801906031493 40.68321351,-73.998019,40.683213
POINT (-73.9682243828713 40.672343526336505),Brooklyn Central Library,Grand Army Plaza,10,Brooklyn,11238,http://www.bklynlibrary.org/locations/central,3029665,3011830002,993064.4243,184230.8793,BPL,3,-73.9682243828713 40.672343526,-73.968224,40.672343
POINT (-73.94763429707129 40.63574014928098),Clarendon,Nostrand Avenue,2035,Brooklyn,11210,http://www.bklynlibrary.org/locations/clarendon,3327822,3050050033,998784,170898,BPL,3,-73.94763429707129 40.63574014,-73.947634,40.63574
POINT (-73.96603066603613 40.68737909411427),Clinton Hill,Washington Avenue,380,Brooklyn,11238,http://www.bklynlibrary.org/locations/clinton-hill,3055495,3019450036,993670.8279,189708.9979,BPL,3,-73.96603066603613 40.68737909,-73.96603,40.687379
POINT (-73.9860619926265 40.57663777607667),Coney Island,Mermaid Avenue,1901,Brooklyn,11224,http://www.bklynlibrary.org/locations/coney-island,3189001,3070190043,988121.8935,149361.4412,BPL,3,-73.9860619926265 40.576637776,-73.986061,40.576637
POINT (-73.96596507806375 40.640803547205046),Cortelyou,Cortelyou Road,1305,Brooklyn,11226,http://www.bklynlibrary.org/locations/cortelyou,3118362,3051440080,993695.6107,172740.2238,BPL,3,-73.96596507806375 40.64080354,-73.965965,40.640803
POINT (-73.9481022990789 40.661189307734446),Crown Heights,New York Avenue,560,Brooklyn,11225,http://www.bklynlibrary.org/locations/crown-heights,3106505,3047910046,998648.6139,180169.749,BPL,3,-73.9481022990789 40.661189307,-73.948102,40.661189
POINT (-73.8740348780572 40.67270747286009),Cypress Hills,Sutter Avenue,1197,Brooklyn,11208,http://www.bklynlibrary.org/locations/cypress-hills,3252993,3042470033,1019192,184387,BPL,3,-73.8740348780572 40.672707472,-73.874034,40.672707
POINT (-73.92839866742115 40.694816700021924),DeKalb,Bushwick Avenue,790,Brooklyn,11221,http://www.bklynlibrary.org/locations/dekalb,3073751,3032410018,1004105.218,192425.024,BPL,3,-73.92839866742115 40.69481670,-73.928398,40.694816
POINT (-74.0119885202191 40.616308136970446),Dyker,13th Avenue,8202,Brooklyn,11228,http://www.bklynlibrary.org/locations/dyker,3164019,3063020036,980921.6402,163814.285,BPL,3,-74.0119885202191 40.616308136,-74.011988,40.616308
POINT (-73.91494061956683 40.655710884739364),East Flatbush,Church Avenue,9612,Brooklyn,11212,http://www.bklynlibrary.org/locations/east-flatbush,3103597,3047170038,1007851,178181,BPL,3,-73.91494061956683 40.65571088,-73.91494,40.65571
POINT (-73.93365084956477 40.66848651013449),Eastern Parkway,Eastern Parkway,1044,Brooklyn,11213,http://www.bklynlibrary.org/locations/eastern-parkway,3037543,3013960006,1002656.042,182831.0307,BPL,3,-73.93365084956477 40.66848651,-73.93365,40.668486
POINT (-73.95824218248399 40.651925081044595),Flatbush,Linden Boulevard,22,Brooklyn,11226,http://www.bklynlibrary.org/locations/flatbush,3116706,3050860015,995836.9913,176793.03,BPL,3,-73.95824218248399 40.65192508,-73.958242,40.651925
