the_geom,Name,STREETNAME,HOUSENUM,CITY,ZIP,URL,BIN,BBL,X,Y,SYSTEM,BOROCODE,,long,lat
POINT (-73.95353074430393 40.80297988196676),115th Street,West 115th Street,203,New York,10026,http://www.nypl.org/locations/115th-street,1055236,1018310026,997115.1298,231827.6529,NYPL,1,-73.95353074430393 40.80297988,-73.95353,40.802979
POINT (-73.9348475633247 40.80301816141575),125th Street,East 125th Street,224,New York,10035,http://www.nypl.org/locations/125th-street,1054674,1017890037,1002287.604,231844.895,NYPL,1,-73.9348475633247 40.803018161,-73.934847,40.803018
POINT (-73.97736329270697 40.76080689474172),53rd Street,West 53rd Street,18,New York,10019,http://www.nypl.org/locations/53rd-street,1089376,1012687503,990521,216460,NYPL,1,-73.97736329270697 40.76080689,-73.977363,40.760806
POINT (-73.9693817046576 40.7621860177235),58th Street,East 58th Street,127,New York,10022,http://www.nypl.org/locations/58th-street,1037165,1013130005,992731.9469,216963.1317,NYPL,1,-73.9693817046576 40.762186017,-73.969381,40.762186
POINT (-73.95954994584243 40.764915006253425),67th Street,East 67th Street,328,New York,10065,http://www.nypl.org/locations/67th-street,1044749,1014410038,995455.1029,217958.4969,NYPL,1,-73.95954994584243 40.76491500,-73.959549,40.764915
POINT (-73.9518056716208 40.785959798621555),96th Street,East 96th Street,112,New York,10128,http://www.nypl.org/locations/96th-street,1048501,1015240064,997596.1321,225626.9058,NYPL,1,-73.9518056716208 40.785959798,-73.951805,40.785959
POINT (-73.94345827853815 40.79421476546373),Aguilar,East 110th Street,174,New York,10029,http://www.nypl.org/locations/aguilar,1052167,1016370141,999905.778,228635.8556,NYPL,1,-73.94345827853815 40.79421476,-73.943458,40.794214
POINT (-73.86322248483968 40.866804429026935),Allerton,Barnes Avenue,2740,Bronx,10467,http://www.nypl.org/locations/allerton,2053752,2045130016,1022080.875,255107.4242,NYPL,2,-73.86322248483968 40.86680442,-73.863222,40.866804
POINT (-73.99335691118674 40.74046545561088),Andrew Heiskell Braille and Talking Book,West 20th Street,40,New York,10011,http://www.nypl.org/locations/heiskell,1076145,1008217501,986090.8831,209048.2171,NYPL,1,-73.99335691118674 40.74046545,-73.993356,40.740465
POINT (-74.0157487123272 40.715690873439094),Battery Park City Library,North End Avenue,175,New York,10282,http://www.nypl.org/locations/battery-park-city,1087518,1000167516,979884.2118,200022.3889,NYPL,1,-74.0157487123272 40.715690873,-74.015748,40.71569
POINT (-73.82931594567218 40.87075330808789),Baychester,Asch Loop North,2049,Bronx,10475,http://www.nypl.org/locations/baychester,2097466,2051410100,1031456.167,256562.6111,NYPL,2,-73.82931594567218 40.87075330,-73.829315,40.870753
POINT (-73.88788268526544 40.85434421451861),Belmont Library and Enrico Fermi Cultural Center,East 186th Street,610,Bronx,10458,http://www.nypl.org/locations/belmont,2012129,2030730020,1015266,250558,NYPL,2,-73.88788268526544 40.85434421,-73.887882,40.854344
