Date,change
1/15/1993,-1.6
2/15/1993,-3.4
3/15/1993,5.5
4/15/1993,0.1
5/15/1993,5.3
6/15/1993,0.2
7/15/1993,3.9
8/15/1993,0.2
9/15/1993,3.1
10/15/1993,-0.1
11/15/1993,0.5
12/15/1993,3.2
1/15/1994,2.9
2/15/1994,0.2
3/15/1994,9.3
4/15/1994,6.6
5/15/1994,2.7
6/15/1994,2.4
7/15/1994,1.5
8/15/1994,3.4
9/15/1994,-0.1
10/15/1994,3.4
11/15/1994,-3.5
12/15/1994,4
1/15/1995,2.3
2/15/1995,6.5
3/15/1995,6.9
4/15/1995,10
5/15/1995,2.5
6/15/1995,7.8
7/15/1995,0.7
8/15/1995,7.1
9/15/1995,5
10/15/1995,7.6
11/15/1995,3.1
12/15/1995,9.5
1/15/1996,0.1
2/15/1996,12.2
3/15/1996,7.5
4/15/1996,12.3
5/15/1996,11.2
6/15/1996,13.9
7/15/1996,13.4
8/15/1996,11.9
9/15/1996,10.8
10/15/1996,19.6
11/15/1996,15.6
12/15/1996,7.6
1/15/1997,10.8
2/15/1997,9.3
3/15/1997,15
4/15/1997,12.4
5/15/1997,17.6
6/15/1997,14.8
7/15/1997,21.5
8/15/1997,17.4
9/15/1997,24.2
10/15/1997,16.8
11/15/1997,20.3
12/15/1997,12.5
1/15/1998,20.8
2/15/1998,19.2
3/15/1998,25.9
4/15/1998,23
5/15/1998,25
6/15/1998,19.4
7/15/1998,24.6
8/15/1998,19.8
9/15/1998,21.7
10/15/1998,21.8
11/15/1998,20.5
12/15/1998,21.5
1/15/1999,22.7
2/15/1999,24.9
3/15/1999,20.6
4/15/1999,22.1
5/15/1999,18.8
6/15/1999,20.6
7/15/1999,19.8
8/15/1999,22.9
9/15/1999,18
10/15/1999,28
11/15/1999,17.9
12/15/1999,28.8
1/15/2000,22.4
2/15/2000,28.6
3/15/2000,24.5
4/15/2000,27.2
5/15/2000,20.7
6/15/2000,26.7
7/15/2000,20
8/15/2000,26.3
9/15/2000,23
10/15/2000,30.3
11/15/2000,24.1
12/15/2000,25.7
1/15/2001,26.9
2/15/2001,28.2
3/15/2001,30.4
4/15/2001,30.1
5/15/2001,29
6/15/2001,28.9
7/15/2001,32.5
8/15/2001,27.6
9/15/2001,34.8
10/15/2001,27.8
11/15/2001,32.6
12/15/2001,26.6
1/15/2002,32.2
2/15/2002,32.4
3/15/2002,32.2
4/15/2002,32
5/15/2002,33.8
6/15/2002,31.1
7/15/2002,35.3
8/15/2002,36.7
9/15/2002,32.8
10/15/2002,36.1
11/15/2002,32.2
12/15/2002,33.1
1/15/2003,34.5
2/15/2003,37
3/15/2003,36.6
4/15/2003,35.8
5/15/2003,36.4
6/15/2003,33.3
7/15/2003,34.2
8/15/2003,33.4
