Date,change
9/15/2003,37.7
10/15/2003,35.6
11/15/2003,34.5
12/15/2003,35.2
1/15/2004,39.1
2/15/2004,37
3/15/2004,39.3
4/15/2004,38.7
5/15/2004,37.2
6/15/2004,36.7
7/15/2004,38.4
8/15/2004,36.1
9/15/2004,39
10/15/2004,35.3
11/15/2004,35.3
12/15/2004,39.2
1/15/2005,38.1
2/15/2005,40.9
3/15/2005,42.5
4/15/2005,40.5
5/15/2005,41.4
6/15/2005,41.9
7/15/2005,40.9
8/15/2005,40.4
9/15/2005,40.6
10/15/2005,41
11/15/2005,43.6
12/15/2005,44.7
1/15/2006,40.1
2/15/2006,43.5
3/15/2006,42.8
4/15/2006,43.3
5/15/2006,43.1
6/15/2006,44
7/15/2006,44
8/15/2006,43.1
9/15/2006,43.3
10/15/2006,44.3
11/15/2006,40.2
12/15/2006,43.5
1/15/2007,40.5
2/15/2007,42.8
3/15/2007,43.3
4/15/2007,48
5/15/2007,43.9
6/15/2007,43.5
7/15/2007,41.5
8/15/2007,42.2
9/15/2007,41.4
10/15/2007,42.6
11/15/2007,45.9
12/15/2007,42.8
1/15/2008,46.2
2/15/2008,43.7
3/15/2008,48.5
4/15/2008,47
5/15/2008,52.9
6/15/2008,49.8
7/15/2008,49.4
8/15/2008,47.5
9/15/2008,49.2
10/15/2008,48.5
11/15/2008,50.5
12/15/2008,49.6
1/15/2009,51.1
2/15/2009,49.3
3/15/2009,53.7
4/15/2009,52
5/15/2009,54.5
6/15/2009,54.3
7/15/2009,54.3
8/15/2009,53
9/15/2009,54.8
10/15/2009,54.6
11/15/2009,55.1
12/15/2009,55.7
1/15/2010,52.5
2/15/2010,54.3
3/15/2010,54.8
4/15/2010,56
5/15/2010,57.6
6/15/2010,60.5
7/15/2010,57.7
8/15/2010,55.5
9/15/2010,51.5
10/15/2010,53.5
11/15/2010,51.6
12/15/2010,53.1
1/15/2011,52.1
2/15/2011,52.9
3/15/2011,49.9
4/15/2011,53
5/15/2011,52.5
6/15/2011,57.4
7/15/2011,54.3
8/15/2011,57.7
9/15/2011,54
10/15/2011,57.4
11/15/2011,54.9
12/15/2011,59.3
1/15/2012,63.8
2/15/2012,62.4
3/15/2012,62.3
4/15/2012,62
5/15/2012,64.1
6/15/2012,66.9
7/15/2012,69.3
8/15/2012,65.9
9/15/2012,65.8
10/15/2012,65.9
11/15/2012,67.2
12/15/2012,69.1
1/15/2013,70.2
2/15/2013,67.7
3/15/2013,71
4/15/2013,68
5/15/2013,69.5
6/15/2013,67.8
7/15/2013,69.7
8/15/2013,64.9
9/15/2013,65.7
10/15/2013,64.9
11/15/2013,68.1
12/15/2013,66.9
1/15/2014,69
2/15/2014,70.1
3/15/2014,71.5
4/15/2014,69.3
5/15/2014,69.9
6/15/2014,71.9
7/15/2014,73.1
8/15/2014,73.5
9/15/2014,70.2
10/15/2014,71.7
11/15/2014,69
12/15/2014,76
1/15/2015,74.5
2/15/2015,79.5
